algaeSiteID,transect,soilSiteID,samplePair,season,island,treatment,elevation,aspect,slope,m2burrow,ph,compaction,runoff,depth,fetch,kinaDensity,soilN15,soilCN,algaeSpecies,algaeN15,algaeCN,Arthrocardia_sp,Carpophyllum_angustifolium,Carpophyllum_flexuosum,Carpophyllum_maschalocarpum,Carpophyllum_plumosum,Champia_laingii,Cystophora_retroflexa,Delisea_compressa,Dictyota_kunthii,Ecklonia_radiata,Hormosira_banksii,Hymenena_affinis,Lessonia_variegata,Melanthalia_abscissa,Nesophila_hoggardii,Plocamium_cirrhosum,Pterocladia_lucida,Pterocladiella_capillacea,Ptilonia_mooreana,Sargassum_sinclairii,Ulva_pertusa,Vidalia_colensoi,Xiphophora_chondrophylla,Zonaria_sp
AL2A-1,AL2A,GM35,AL2A-1 GM35,Dry,Great Mercury,New Erad,20.6,217,28,0,5.93,30,5.83,1,81.318,NA,5,18.58391608,X. chondrophylla,5.9,27.6672913,0,0,10,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,5,0
AL2A-1,AL2A,GM35,AL2A-1 GM35,Dry,Great Mercury,New Erad,20.6,217,28,0,5.93,30,5.83,1,81.318,NA,5,18.58391608,X. chondrophylla,6.34,26.5996075,0,0,10,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,5,0
AL2A-1,AL2A,GM44,AL2A-1 GM44,Dry,Great Mercury,New Erad,2,86,44,0,6.4,25,5.83,1,81.318,NA,7.57,15.50387597,E. radiata,5.77,19.72355771,0,0,10,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,5,0
AL2A-1,AL2A,GM44,AL2A-1 GM44,Dry,Great Mercury,New Erad,2,86,44,0,6.4,25,5.83,1,81.318,NA,7.57,15.50387597,X. chondrophylla,6.34,26.5996075,0,0,10,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,5,0
AL2A-1,AL2A,GM44,AL2A-1 GM44,Dry,Great Mercury,New Erad,2,86,44,0,6.4,25,5.83,1,81.318,NA,7.57,15.50387597,X. chondrophylla,5.9,27.6672913,0,0,10,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,5,0
AL2A-1,AL2A,GM31,AL2A-1 GM31,Rainy,Great Mercury,New Erad,31.4,228,22,0,7.38,25,5.83,1,81.318,0,3.08,16.72547636,C. maschalocarpum,6.49,21.20665224,0,0,0,55,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,35,0
AL2A-1,AL2A,GM31,AL2A-1 GM31,Rainy,Great Mercury,New Erad,31.4,228,22,0,7.38,25,5.83,1,81.318,0,3.08,16.72547636,X. chondrophylla,6.87,17.88436074,0,0,0,55,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,35,0
AL2A-1,AL2A,GM32,AL2A-1 GM32,Rainy,Great Mercury,New Erad,22.6,232,52,0,4.7,80,5.83,1,81.318,0,7.1,16.81129477,C. maschalocarpum,6.49,21.20665224,0,0,0,55,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,35,0
AL2A-1,AL2A,GM32,AL2A-1 GM32,Rainy,Great Mercury,New Erad,22.6,232,52,0,4.7,80,5.83,1,81.318,0,7.1,16.81129477,X. chondrophylla,6.87,17.88436074,0,0,0,55,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,35,0
AL2A-1,AL2A,GM34,AL2A-1 GM34,Rainy,Great Mercury,New Erad,38.5,244,40,0,7,30,5.83,1,81.318,0,7.03,15.74712644,C. maschalocarpum,6.49,21.20665224,0,0,0,55,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,35,0
AL2A-1,AL2A,GM34,AL2A-1 GM34,Rainy,Great Mercury,New Erad,38.5,244,40,0,7,30,5.83,1,81.318,0,7.03,15.74712644,X. chondrophylla,6.87,17.88436074,0,0,0,55,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,35,0
AL2A-1,AL2A,GM35,AL2A-1 GM35,Rainy,Great Mercury,New Erad,20.6,217,28,0,7.12,30,5.83,1,81.318,0,6.26,15.59405941,C. maschalocarpum,6.49,21.20665224,0,0,0,55,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,35,0
AL2A-1,AL2A,GM35,AL2A-1 GM35,Rainy,Great Mercury,New Erad,20.6,217,28,0,7.12,30,5.83,1,81.318,0,6.26,15.59405941,X. chondrophylla,6.87,17.88436074,0,0,0,55,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,35,0
AL2A-1,AL2A,GM44,AL2A-1 GM44,Rainy,Great Mercury,New Erad,2,86,44,0,6.09,25,5.83,1,81.318,0,9.51,16.21564482,C. maschalocarpum,6.49,21.20665224,0,0,0,55,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,35,0
AL2A-1,AL2A,GM44,AL2A-1 GM44,Rainy,Great Mercury,New Erad,2,86,44,0,6.09,25,5.83,1,81.318,0,9.51,16.21564482,X. chondrophylla,6.87,17.88436074,0,0,0,55,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,35,0
AL2A-2,AL2A,GM31,AL2A-2 GM31,Dry,Great Mercury,New Erad,31.4,228,22,0,4.32,25,5.83,2,81.318,NA,2.91,15.97883598,C. flexuosum,5.53,43.05709087,0,0,0,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2A-2,AL2A,GM32,AL2A-2 GM32,Dry,Great Mercury,New Erad,22.6,232,52,0,5.73,80,5.83,2,81.318,NA,4.65,16.66666667,C. flexuosum,5.53,43.05709087,0,0,0,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2A-2,AL2A,GM34,AL2A-2 GM34,Dry,Great Mercury,New Erad,38.5,244,40,0,6.84,30,5.83,2,81.318,NA,7.16,15.71936057,C. flexuosum,5.53,43.05709087,0,0,0,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2A-2,AL2A,GM35,AL2A-2 GM35,Dry,Great Mercury,New Erad,20.6,217,28,0,5.93,30,5.83,2,81.318,NA,5,18.58391608,C. flexuosum,5.53,43.05709087,0,0,0,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2A-2,AL2A,GM44,AL2A-2 GM44,Dry,Great Mercury,New Erad,2,86,44,0,6.4,25,5.83,2,81.318,NA,7.57,15.50387597,C. flexuosum,5.53,43.05709087,0,0,0,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2A-3,AL2A,GM31,AL2A-3 GM31,Dry,Great Mercury,New Erad,31.4,228,22,0,4.32,25,5.83,3,81.318,NA,2.91,15.97883598,C. flexuosum,4.27,36.94160808,0,0,0,50,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2A-3,AL2A,GM32,AL2A-3 GM32,Dry,Great Mercury,New Erad,22.6,232,52,0,5.73,80,5.83,3,81.318,NA,4.65,16.66666667,C. flexuosum,4.27,36.94160808,0,0,0,50,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2A-3,AL2A,GM34,AL2A-3 GM34,Dry,Great Mercury,New Erad,38.5,244,40,0,6.84,30,5.83,3,81.318,NA,7.16,15.71936057,C. flexuosum,4.27,36.94160808,0,0,0,50,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2A-3,AL2A,GM35,AL2A-3 GM35,Dry,Great Mercury,New Erad,20.6,217,28,0,5.93,30,5.83,3,81.318,NA,5,18.58391608,C. flexuosum,4.27,36.94160808,0,0,0,50,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2A-3,AL2A,GM44,AL2A-3 GM44,Dry,Great Mercury,New Erad,2,86,44,0,6.4,25,5.83,3,81.318,NA,7.57,15.50387597,C. flexuosum,4.27,36.94160808,0,0,0,50,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2A-4,AL2A,GM31,AL2A-4 GM31,Dry,Great Mercury,New Erad,31.4,228,22,0,4.32,25,5.83,4,81.318,NA,2.91,15.97883598,E. radiata,4.05,14.25969445,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2A-4,AL2A,GM32,AL2A-4 GM32,Dry,Great Mercury,New Erad,22.6,232,52,0,5.73,80,5.83,4,81.318,NA,4.65,16.66666667,E. radiata,4.05,14.25969445,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2A-4,AL2A,GM34,AL2A-4 GM34,Dry,Great Mercury,New Erad,38.5,244,40,0,6.84,30,5.83,4,81.318,NA,7.16,15.71936057,E. radiata,4.05,14.25969445,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2A-4,AL2A,GM35,AL2A-4 GM35,Dry,Great Mercury,New Erad,20.6,217,28,0,5.93,30,5.83,4,81.318,NA,5,18.58391608,E. radiata,4.05,14.25969445,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2A-4,AL2A,GM44,AL2A-4 GM44,Dry,Great Mercury,New Erad,2,86,44,0,6.4,25,5.83,4,81.318,NA,7.57,15.50387597,E. radiata,4.05,14.25969445,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2A-5,AL2A,GM31,AL2A-5 GM31,Dry,Great Mercury,New Erad,31.4,228,22,0,4.32,25,5.83,5,81.318,NA,2.91,15.97883598,E. radiata,5.14,16.70067067,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2A-5,AL2A,GM32,AL2A-5 GM32,Dry,Great Mercury,New Erad,22.6,232,52,0,5.73,80,5.83,5,81.318,NA,4.65,16.66666667,E. radiata,5.14,16.70067067,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2A-5,AL2A,GM34,AL2A-5 GM34,Dry,Great Mercury,New Erad,38.5,244,40,0,6.84,30,5.83,5,81.318,NA,7.16,15.71936057,E. radiata,5.14,16.70067067,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2A-5,AL2A,GM35,AL2A-5 GM35,Dry,Great Mercury,New Erad,20.6,217,28,0,5.93,30,5.83,5,81.318,NA,5,18.58391608,E. radiata,5.14,16.70067067,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2A-5,AL2A,GM44,AL2A-5 GM44,Dry,Great Mercury,New Erad,2,86,44,0,6.4,25,5.83,5,81.318,NA,7.57,15.50387597,E. radiata,5.14,16.70067067,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2B-1,AL2B,GM31,AL2B-1 GM31,Dry,Great Mercury,New Erad,31.4,228,22,0,4.32,25,5.83,1,81.318,NA,2.91,15.97883598,C. maschalocarpum,5.69,31.69138909,0,0,10,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2B-1,AL2B,GM32,AL2B-1 GM32,Dry,Great Mercury,New Erad,22.6,232,52,0,5.73,80,5.83,1,81.318,NA,4.65,16.66666667,C. maschalocarpum,5.69,31.69138909,0,0,10,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2B-1,AL2B,GM34,AL2B-1 GM34,Dry,Great Mercury,New Erad,38.5,244,40,0,6.84,30,5.83,1,81.318,NA,7.16,15.71936057,C. maschalocarpum,5.69,31.69138909,0,0,10,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2B-1,AL2B,GM35,AL2B-1 GM35,Dry,Great Mercury,New Erad,20.6,217,28,0,5.93,30,5.83,1,81.318,NA,5,18.58391608,C. maschalocarpum,5.69,31.69138909,0,0,10,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2B-1,AL2B,GM44,AL2B-1 GM44,Dry,Great Mercury,New Erad,2,86,44,0,6.4,25,5.83,1,81.318,NA,7.57,15.50387597,C. maschalocarpum,5.69,31.69138909,0,0,10,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2B-1,AL2B,GM31,AL2B-1 GM31,Rainy,Great Mercury,New Erad,31.4,228,22,0,7.38,25,5.83,1,81.318,0,3.08,16.72547636,C. maschalocarpum,7.5,17.89121942,0,0,0,45,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,45,0
AL2B-1,AL2B,GM31,AL2B-1 GM31,Rainy,Great Mercury,New Erad,31.4,228,22,0,7.38,25,5.83,1,81.318,0,3.08,16.72547636,E. radiata,6.85,12.28763694,0,0,0,45,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,45,0
AL2B-1,AL2B,GM31,AL2B-1 GM31,Rainy,Great Mercury,New Erad,31.4,228,22,0,7.38,25,5.83,1,81.318,0,3.08,16.72547636,E. radiata,6.69,12.72577295,0,0,0,45,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,45,0
AL2B-1,AL2B,GM31,AL2B-1 GM31,Rainy,Great Mercury,New Erad,31.4,228,22,0,7.38,25,5.83,1,81.318,0,3.08,16.72547636,X. chondrophylla,7.4,16.59595996,0,0,0,45,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,45,0
AL2B-1,AL2B,GM32,AL2B-1 GM32,Rainy,Great Mercury,New Erad,22.6,232,52,0,4.7,80,5.83,1,81.318,0,7.1,16.81129477,C. maschalocarpum,7.5,17.89121942,0,0,0,45,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,45,0
AL2B-1,AL2B,GM32,AL2B-1 GM32,Rainy,Great Mercury,New Erad,22.6,232,52,0,4.7,80,5.83,1,81.318,0,7.1,16.81129477,E. radiata,6.69,12.72577295,0,0,0,45,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,45,0
AL2B-1,AL2B,GM32,AL2B-1 GM32,Rainy,Great Mercury,New Erad,22.6,232,52,0,4.7,80,5.83,1,81.318,0,7.1,16.81129477,E. radiata,6.85,12.28763694,0,0,0,45,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,45,0
AL2B-1,AL2B,GM32,AL2B-1 GM32,Rainy,Great Mercury,New Erad,22.6,232,52,0,4.7,80,5.83,1,81.318,0,7.1,16.81129477,X. chondrophylla,7.4,16.59595996,0,0,0,45,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,45,0
AL2B-1,AL2B,GM34,AL2B-1 GM34,Rainy,Great Mercury,New Erad,38.5,244,40,0,7,30,5.83,1,81.318,0,7.03,15.74712644,C. maschalocarpum,7.5,17.89121942,0,0,0,45,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,45,0
AL2B-1,AL2B,GM34,AL2B-1 GM34,Rainy,Great Mercury,New Erad,38.5,244,40,0,7,30,5.83,1,81.318,0,7.03,15.74712644,E. radiata,6.85,12.28763694,0,0,0,45,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,45,0
AL2B-1,AL2B,GM34,AL2B-1 GM34,Rainy,Great Mercury,New Erad,38.5,244,40,0,7,30,5.83,1,81.318,0,7.03,15.74712644,E. radiata,6.69,12.72577295,0,0,0,45,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,45,0
AL2B-1,AL2B,GM34,AL2B-1 GM34,Rainy,Great Mercury,New Erad,38.5,244,40,0,7,30,5.83,1,81.318,0,7.03,15.74712644,X. chondrophylla,7.4,16.59595996,0,0,0,45,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,45,0
AL2B-1,AL2B,GM35,AL2B-1 GM35,Rainy,Great Mercury,New Erad,20.6,217,28,0,7.12,30,5.83,1,81.318,0,6.26,15.59405941,C. maschalocarpum,7.5,17.89121942,0,0,0,45,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,45,0
AL2B-1,AL2B,GM35,AL2B-1 GM35,Rainy,Great Mercury,New Erad,20.6,217,28,0,7.12,30,5.83,1,81.318,0,6.26,15.59405941,E. radiata,6.85,12.28763694,0,0,0,45,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,45,0
AL2B-1,AL2B,GM35,AL2B-1 GM35,Rainy,Great Mercury,New Erad,20.6,217,28,0,7.12,30,5.83,1,81.318,0,6.26,15.59405941,E. radiata,6.69,12.72577295,0,0,0,45,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,45,0
AL2B-1,AL2B,GM35,AL2B-1 GM35,Rainy,Great Mercury,New Erad,20.6,217,28,0,7.12,30,5.83,1,81.318,0,6.26,15.59405941,X. chondrophylla,7.4,16.59595996,0,0,0,45,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,45,0
AL2B-1,AL2B,GM44,AL2B-1 GM44,Rainy,Great Mercury,New Erad,2,86,44,0,6.09,25,5.83,1,81.318,0,9.51,16.21564482,C. maschalocarpum,7.5,17.89121942,0,0,0,45,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,45,0
AL2B-1,AL2B,GM44,AL2B-1 GM44,Rainy,Great Mercury,New Erad,2,86,44,0,6.09,25,5.83,1,81.318,0,9.51,16.21564482,E. radiata,6.85,12.28763694,0,0,0,45,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,45,0
AL2B-1,AL2B,GM44,AL2B-1 GM44,Rainy,Great Mercury,New Erad,2,86,44,0,6.09,25,5.83,1,81.318,0,9.51,16.21564482,E. radiata,6.69,12.72577295,0,0,0,45,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,45,0
AL2B-1,AL2B,GM44,AL2B-1 GM44,Rainy,Great Mercury,New Erad,2,86,44,0,6.09,25,5.83,1,81.318,0,9.51,16.21564482,X. chondrophylla,7.4,16.59595996,0,0,0,45,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,45,0
AL2B-2,AL2B,GM31,AL2B-2 GM31,Dry,Great Mercury,New Erad,31.4,228,22,0,4.32,25,5.83,2,81.318,NA,2.91,15.97883598,C. flexuosum,3.69,35.88357233,0,0,25,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2B-2,AL2B,GM32,AL2B-2 GM32,Dry,Great Mercury,New Erad,22.6,232,52,0,5.73,80,5.83,2,81.318,NA,4.65,16.66666667,C. flexuosum,3.69,35.88357233,0,0,25,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2B-2,AL2B,GM34,AL2B-2 GM34,Dry,Great Mercury,New Erad,38.5,244,40,0,6.84,30,5.83,2,81.318,NA,7.16,15.71936057,C. flexuosum,3.69,35.88357233,0,0,25,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2B-2,AL2B,GM35,AL2B-2 GM35,Dry,Great Mercury,New Erad,20.6,217,28,0,5.93,30,5.83,2,81.318,NA,5,18.58391608,C. flexuosum,3.69,35.88357233,0,0,25,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2B-2,AL2B,GM44,AL2B-2 GM44,Dry,Great Mercury,New Erad,2,86,44,0,6.4,25,5.83,2,81.318,NA,7.57,15.50387597,C. flexuosum,3.69,35.88357233,0,0,25,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2B-3,AL2B,GM31,AL2B-3 GM31,Rainy,Great Mercury,New Erad,31.4,228,22,0,7.38,25,5.83,3,81.318,2,3.08,16.72547636,C. flexuosum,5.35,27.10335627,0,0,45,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2B-3,AL2B,GM32,AL2B-3 GM32,Rainy,Great Mercury,New Erad,22.6,232,52,0,4.7,80,5.83,3,81.318,2,7.1,16.81129477,C. flexuosum,5.35,27.10335627,0,0,45,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2B-3,AL2B,GM34,AL2B-3 GM34,Rainy,Great Mercury,New Erad,38.5,244,40,0,7,30,5.83,3,81.318,2,7.03,15.74712644,C. flexuosum,5.35,27.10335627,0,0,45,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2B-3,AL2B,GM35,AL2B-3 GM35,Rainy,Great Mercury,New Erad,20.6,217,28,0,7.12,30,5.83,3,81.318,2,6.26,15.59405941,C. flexuosum,5.35,27.10335627,0,0,45,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2B-3,AL2B,GM44,AL2B-3 GM44,Rainy,Great Mercury,New Erad,2,86,44,0,6.09,25,5.83,3,81.318,2,9.51,16.21564482,C. flexuosum,5.35,27.10335627,0,0,45,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2B-4,AL2B,GM31,AL2B-4 GM31,Dry,Great Mercury,New Erad,31.4,228,22,0,4.32,25,5.83,4,81.318,NA,2.91,15.97883598,C. flexuosum,5.72,26.67286746,0,0,25,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2B-4,AL2B,GM31,AL2B-4 GM31,Dry,Great Mercury,New Erad,31.4,228,22,0,4.32,25,5.83,4,81.318,NA,2.91,15.97883598,E. radiata,5.49,21.55849844,0,0,25,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2B-4,AL2B,GM32,AL2B-4 GM32,Dry,Great Mercury,New Erad,22.6,232,52,0,5.73,80,5.83,4,81.318,NA,4.65,16.66666667,C. flexuosum,5.72,26.67286746,0,0,25,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2B-4,AL2B,GM32,AL2B-4 GM32,Dry,Great Mercury,New Erad,22.6,232,52,0,5.73,80,5.83,4,81.318,NA,4.65,16.66666667,E. radiata,5.49,21.55849844,0,0,25,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2B-4,AL2B,GM34,AL2B-4 GM34,Dry,Great Mercury,New Erad,38.5,244,40,0,6.84,30,5.83,4,81.318,NA,7.16,15.71936057,C. flexuosum,5.72,26.67286746,0,0,25,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2B-4,AL2B,GM34,AL2B-4 GM34,Dry,Great Mercury,New Erad,38.5,244,40,0,6.84,30,5.83,4,81.318,NA,7.16,15.71936057,E. radiata,5.49,21.55849844,0,0,25,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2B-4,AL2B,GM35,AL2B-4 GM35,Dry,Great Mercury,New Erad,20.6,217,28,0,5.93,30,5.83,4,81.318,NA,5,18.58391608,C. flexuosum,5.72,26.67286746,0,0,25,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2B-4,AL2B,GM35,AL2B-4 GM35,Dry,Great Mercury,New Erad,20.6,217,28,0,5.93,30,5.83,4,81.318,NA,5,18.58391608,E. radiata,5.49,21.55849844,0,0,25,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2B-4,AL2B,GM44,AL2B-4 GM44,Dry,Great Mercury,New Erad,2,86,44,0,6.4,25,5.83,4,81.318,NA,7.57,15.50387597,C. flexuosum,5.72,26.67286746,0,0,25,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL2B-4,AL2B,GM44,AL2B-4 GM44,Dry,Great Mercury,New Erad,2,86,44,0,6.4,25,5.83,4,81.318,NA,7.57,15.50387597,E. radiata,5.49,21.55849844,0,0,25,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
